x RMSE, y RMSE, vx RMSE, vy RMSE, NIS, Sensor
0.0695459, 0.0819744, 0.471751, 0.279497, 2.73416,1
0.0694826, 0.0818042, 0.471015, 0.278928, 0.888083,0
0.0695933, 0.081679, 0.47054, 0.278388, 5.38497,1
0.0695533, 0.0815352, 0.469831, 0.277816, 0.866307,0
0.0694122, 0.0814113, 0.468912, 0.277444, 5.42033,1
0.0692963, 0.0812672, 0.467962, 0.276968, 0.45399,0
0.0691554, 0.0811496, 0.467065, 0.276422, 1.6581,1
0.0691038, 0.081203, 0.466421, 0.276057, 2.06805,0
0.0692612, 0.0814693, 0.466105, 0.276513, 2.94963,1
0.0695975, 0.0818212, 0.465936, 0.276892, 0.121326,0
0.06967, 0.0821, 0.46537, 0.276666, 4.36517,1
0.0696887, 0.082154, 0.464687, 0.27617, 2.15157,0
0.0696291, 0.0822042, 0.463899, 0.275877, 2.39603,1
0.0695195, 0.0821605, 0.463033, 0.275396, 0.866923,0
0.0694472, 0.0821145, 0.462219, 0.274863, 0.181529,1
0.069311, 0.0819618, 0.461313, 0.274432, 2.21492,0
0.0691886, 0.0818035, 0.46042, 0.273906, 2.21121,1
0.0692406, 0.0816704, 0.459687, 0.273598, 2.15035,0
0.0692394, 0.0815268, 0.458848, 0.2733, 1.35452,1
0.0691575, 0.0813692, 0.457961, 0.272815, 0.895956,0
0.0690739, 0.0812853, 0.457081, 0.272403, 4.12436,1
0.0689937, 0.0812025, 0.456206, 0.271955, 0.0208167,0
0.0690154, 0.0810769, 0.455356, 0.271449, 0.89437,1
0.0690564, 0.0809234, 0.454518, 0.270976, 1.22087,0
0.0690665, 0.0807726, 0.453661, 0.27052, 0.170179,1
0.0691481, 0.0806647, 0.45282, 0.270267, 0.504878,0
0.0692948, 0.0805363, 0.45204, 0.269858, 4.19938,1
0.069602, 0.0805336, 0.451329, 0.269832, 1.14161,0
0.0701037, 0.0805918, 0.450733, 0.269904, 0.390009,1
0.0702717, 0.0805471, 0.449944, 0.269519, 5.43132,0
0.0703826, 0.0804146, 0.449117, 0.269021, 1.14957,1
0.0703148, 0.0802666, 0.448304, 0.268597, 3.67274,0
0.0702447, 0.0803024, 0.447481, 0.268366, 5.47574,1
0.070122, 0.0803225, 0.446699, 0.268029, 1.5142,0
0.0700018, 0.0802998, 0.445997, 0.267565, 5.78201,1
0.0698877, 0.0802634, 0.44543, 0.267091, 1.46605,0
0.0697669, 0.0801182, 0.444774, 0.266659, 3.37745,1
0.0696414, 0.08004, 0.444075, 0.26648, 2.16147,0
0.069517, 0.0799288, 0.443278, 0.266, 5.66942,1
0.0693955, 0.079793, 0.442503, 0.265708, 1.61738,0
0.0693146, 0.0797588, 0.441803, 0.265773, 2.7323,1
0.0692039, 0.0796688, 0.441071, 0.265589, 1.20995,0
0.0690818, 0.0796725, 0.440296, 0.266382, 2.93397,1
0.0689694, 0.0798212, 0.439518, 0.267436, 0.300997,0
0.0688479, 0.0798535, 0.438744, 0.267572, 3.74147,1
0.0687398, 0.079831, 0.437975, 0.26747, 0.712807,0
0.0686684, 0.0797934, 0.437222, 0.267299, 1.21865,1
0.0685489, 0.0799941, 0.436467, 0.267605, 2.01352,0
0.0684308, 0.0802134, 0.435769, 0.267597, 0.361312,1
0.0683248, 0.0802811, 0.435099, 0.267339, 1.6005,0
0.0682157, 0.0805655, 0.434441, 0.267369, 4.31044,1
0.0680996, 0.0804831, 0.433742, 0.266924, 5.15554,0
0.0679857, 0.0804092, 0.433021, 0.266552, 0.538456,1
0.0678704, 0.0804097, 0.432303, 0.266296, 0.509201,0
0.0677566, 0.0804715, 0.431603, 0.266096, 0.382569,1
0.0676417, 0.0807353, 0.430907, 0.266173, 1.15503,0
0.067537, 0.0809657, 0.430445, 0.26582, 1.93633,1
0.0674893, 0.0812994, 0.430112, 0.265573, 0.252584,0
0.0674887, 0.0814216, 0.429975, 0.265134, 2.905,1
0.067435, 0.0815829, 0.4297, 0.264722, 1.97764,0
0.0674037, 0.081781, 0.429398, 0.264369, 0.287853,1
0.0674358, 0.0819757, 0.429154, 0.26404, 0.0471304,0
0.0676308, 0.0820082, 0.429215, 0.263604, 4.97868,1
0.0678764, 0.0818743, 0.429221, 0.263288, 3.64253,0
0.0681337, 0.0817459, 0.429004, 0.262862, 1.35121,1
0.0686995, 0.0816796, 0.428995, 0.262478, 0.782545,0
0.068995, 0.0816088, 0.428476, 0.262269, 7.11047,1
0.0691957, 0.0815562, 0.427895, 0.26209, 0.755731,0
0.0694323, 0.0815043, 0.427285, 0.261981, 0.749446,1
0.0694804, 0.0815591, 0.426611, 0.262047, 3.80199,0
0.0695018, 0.0815669, 0.425933, 0.261968, 1.75948,1
0.0694053, 0.0816484, 0.425256, 0.261941, 3.51873,0
